trial_index,uniqueid,condition,counterbalance,assignmentId,workerId,hitId,trial_type,rt,internal_node_id,dateTime,materials_id,item_id,survey_question_idx,survey_answer,slider_value,slider_copout,condition_0,condition_1,condition_2,agent_is_subject,slider_value_normed
16,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4437.800000190735,0.0-16.0,2021-08-03 16:54:25.996,swarm-002-promptP,20.0,,,79.0,False,0.0,1.0,,True,0.2185948197164843
17,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2838.0,0.0-17.0,2021-08-03 16:54:28.836,swarm-002-promptP,64.0,,,72.0,False,0.0,0.0,,False,-1.198223456223694
18,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2069.899999856949,0.0-18.0,2021-08-03 16:54:30.908,swarm-002-promptP,2.0,,,72.0,False,0.0,0.0,,False,-1.198223456223694
19,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2545.899999856949,0.0-19.0,2021-08-03 16:54:33.456,swarm-002-promptP,0.0,,,76.0,False,filler,empty,,False,-0.3886130128293064
20,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4578.100000143051,0.0-20.0,2021-08-03 16:54:38.036,swarm-002-promptP,0.0,,,76.0,False,0.0,0.0,,False,-0.3886130128293064
21,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,11007.399999856949,0.0-21.0,2021-08-03 16:54:49.046,swarm-002-promptP,3.0,,,76.0,False,0.0,0.0,,False,-0.3886130128293064
22,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,1949.9000000953674,0.0-22.0,2021-08-03 16:54:50.998,swarm-002-promptP,56.0,,,72.0,False,0.0,0.0,,False,-1.198223456223694
23,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,1957.8999998569489,0.0-23.0,2021-08-03 16:54:52.958,swarm-002-promptP,8.0,,,76.0,False,0.0,0.0,,False,-0.3886130128293064
24,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,5495.800000190735,0.0-24.0,2021-08-03 16:54:58.455,swarm-002-promptP,58.0,,,85.0,False,0.0,1.0,,True,1.4330104848080656
25,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2918.0999999046326,0.0-25.0,2021-08-03 16:55:01.376,swarm-002-promptP,30.0,,,75.0,False,0.0,1.0,,True,-0.5910156236779033
26,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2697.800000190735,0.0-26.0,2021-08-03 16:55:04.075,swarm-002-promptP,25.0,,,82.0,False,0.0,0.0,,False,0.825802652262275
27,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2415.7999999523163,0.0-27.0,2021-08-03 16:55:06.493,swarm-002-promptP,7.0,,,84.0,False,0.0,1.0,,True,1.2306078739594688
28,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2851.199999809265,0.0-28.0,2021-08-03 16:55:09.347,swarm-002-promptP,4.0,,,79.0,False,0.0,1.0,,True,0.2185948197164843
29,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4825.700000047684,0.0-29.0,2021-08-03 16:55:14.175,swarm-002-promptP,24.0,,,81.0,False,0.0,0.0,,False,0.6234000414136781
30,A2YCOCF3PATN1V:3AMYWKA6YCAGQ64BHSV153X6HLY6OB,0,0,3AMYWKA6YCAGQ64BHSV153X6HLY6OB,A2YCOCF3PATN1V,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2578.0,0.0-30.0,2021-08-03 16:55:16.757,swarm-002-promptP,5.0,,,85.0,False,0.0,0.0,,False,1.4330104848080656
3,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,36092.0,0.0-3.0,2021-08-03 16:55:46.939,,,,,,True,practice,solid,full,False,
4,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,9926.10000038147,0.0-4.0,2021-08-03 16:55:56.868,,,,,81.0,False,practice,liquid,full,False,1.0622309204084337
5,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,13216.300000190735,0.0-5.0,2021-08-03 16:56:10.087,,,,,68.0,False,practice,abstract,empty,False,0.36777434188222374
6,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,7594.89999961853,0.0-6.0,2021-08-03 16:56:17.685,,,,,83.0,False,practice,solid,empty,False,1.1690703940278506
7,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2417.9000005722046,0.0-7.0,2021-08-03 16:56:20.106,,,,,36.0,False,practice,abstract,full,False,-1.3416572360284469
9,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3457.8999996185303,0.0-9.0,2021-08-03 16:56:25.265,swarm-002-promptP,17.0,,,79.0,False,0.0,0.0,,False,0.9553914467890168
10,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4475.89999961853,0.0-10.0,2021-08-03 16:56:29.744,swarm-002-promptP,24.0,,,71.0,False,0.0,0.0,,False,0.5280335523113491
11,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3558.5,0.0-11.0,2021-08-03 16:56:33.306,swarm-002-promptP,20.0,,,36.0,False,0.0,1.0,,True,-1.3416572360284469
12,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2916.6000003814697,0.0-12.0,2021-08-03 16:56:36.226,swarm-002-promptP,56.0,,,57.0,False,0.0,0.0,,False,-0.21984276302456932
13,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2875.6000003814697,0.0-13.0,2021-08-03 16:56:39.106,swarm-002-promptP,25.0,,,34.0,False,0.0,1.0,,True,-1.4484967096478638
14,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3787.5,0.0-14.0,2021-08-03 16:56:42.906,swarm-002-promptP,64.0,,,64.0,False,0.0,1.0,,True,0.1540953946433899
15,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2426.5,0.0-15.0,2021-08-03 16:56:45.340,swarm-002-promptP,30.0,,,70.0,False,0.0,0.0,,False,0.47461381550164067
16,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2124.1000003814697,0.0-16.0,2021-08-03 16:56:47.475,swarm-002-promptP,41.0,,,32.0,False,0.0,1.0,,True,-1.5553361832672807
17,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2227.6000003814697,0.0-17.0,2021-08-03 16:56:49.706,swarm-002-promptP,7.0,,,78.0,False,0.0,0.0,,False,0.9019717099793083
18,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4616.10000038147,0.0-18.0,2021-08-03 16:56:54.326,swarm-002-promptP,5.0,,,74.0,False,0.0,0.0,,False,0.6882927627404745
19,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2583.800000190735,0.0-19.0,2021-08-03 16:56:56.915,swarm-002-promptP,4.0,,,74.0,False,0.0,0.0,,False,0.6882927627404745
20,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2914.5999994277954,0.0-20.0,2021-08-03 16:56:59.836,swarm-002-promptP,19.0,,,33.0,False,0.0,1.0,,True,-1.5019164464575723
21,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,27323.199999809265,0.0-21.0,2021-08-03 16:57:27.162,swarm-002-promptP,2.0,,,71.0,False,0.0,1.0,,True,0.5280335523113491
22,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2898.300000190735,0.0-22.0,2021-08-03 16:57:30.066,swarm-002-promptP,6.0,,,68.0,False,0.0,0.0,,False,0.36777434188222374
23,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2286.5999994277954,0.0-23.0,2021-08-03 16:57:32.359,swarm-002-promptP,0.0,,,27.0,False,0.0,1.0,,True,-1.822434867315823
24,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2232.5,0.0-24.0,2021-08-03 16:57:34.596,swarm-002-promptP,8.0,,,75.0,False,0.0,1.0,,True,0.7417124995501829
25,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2834.5,0.0-25.0,2021-08-03 16:57:37.434,swarm-002-promptP,39.0,,,45.0,False,0.0,1.0,,True,-0.8608796047410708
26,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4797.900000572205,0.0-26.0,2021-08-03 16:57:42.235,swarm-002-promptP,58.0,,,62.0,False,0.0,1.0,,True,0.04725592102397298
27,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3357.0,0.0-27.0,2021-08-03 16:57:45.595,swarm-002-promptP,3.0,,,83.0,False,0.0,1.0,,True,1.1690703940278506
28,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2476.1000003814697,0.0-28.0,2021-08-03 16:57:48.074,swarm-002-promptP,8.0,,,66.0,False,filler,full,,False,0.2609348682628068
29,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2087.199999809265,0.0-29.0,2021-08-03 16:57:50.164,swarm-002-promptP,1.0,,,81.0,False,filler,empty,,False,1.0622309204084337
30,A3A3R002WFC7U3:3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,0,0,3SLE99ER0O1YVMZDFSNQWHQ2FQCBZ3,A3A3R002WFC7U3,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2558.0,0.0-30.0,2021-08-03 16:57:52.725,swarm-002-promptP,22.0,,,41.0,False,0.0,1.0,,True,-1.0745585519799046
3,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,437452.0,0.0-3.0,2021-08-03 17:03:17.287,,,,,81.0,False,practice,solid,full,False,1.0924853350308605
4,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2305.0,0.0-4.0,2021-08-03 17:03:19.597,,,,,69.0,False,practice,liquid,full,False,0.11197218115274722
5,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2420.0,0.0-5.0,2021-08-03 17:03:22.021,,,,,73.0,False,practice,abstract,empty,False,0.4388098991121184
6,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,1821.0,0.0-6.0,2021-08-03 17:03:23.846,,,,,71.0,False,practice,solid,empty,False,0.27539104013243276
7,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2261.0,0.0-7.0,2021-08-03 17:03:26.111,,,,,83.0,False,practice,abstract,full,False,1.2559041940105462
9,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,242547.0,0.0-9.0,2021-08-03 17:07:29.826,swarm-002-promptP,24.0,,,76.0,False,0.0,1.0,,True,0.6839381875816467
10,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2077.0,0.0-10.0,2021-08-03 17:07:31.906,swarm-002-promptP,41.0,,,86.0,False,0.0,1.0,,True,1.5010324824800745
11,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,1311.0,0.0-11.0,2021-08-03 17:07:33.219,swarm-002-promptP,8.0,,,75.0,False,0.0,1.0,,True,0.6022287580918039
12,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,4359.0,0.0-12.0,2021-08-03 17:07:37.586,swarm-002-promptP,1.0,,,85.0,False,filler,empty,,False,1.4193230529902319
13,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2028.0,0.0-13.0,2021-08-03 17:07:39.617,swarm-002-promptP,19.0,,,75.0,False,0.0,1.0,,True,0.6022287580918039
14,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3421.0,0.0-14.0,2021-08-03 17:07:43.041,swarm-002-promptP,31.0,,,75.0,False,0.0,1.0,,True,0.6022287580918039
15,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,3226.0,0.0-15.0,2021-08-03 17:07:46.270,swarm-002-promptP,6.0,,,58.0,False,0.0,1.0,,True,-0.7868315432355234
16,A2KGELV8JP76TJ:3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,0,0,3JV9LGBJWU2INZTHT54NHUAVBZ1OGV,A2KGELV8JP76TJ,3TL87MO8CMD1GUWWFRDBJ8AYKARFL8,html-slider-response-with-copout,2185.0,0.0-16.0,2021-08-03 17:07:48.460,swarm-002-promptP,25.0,,,65.0,False,0.0,0.0,,False,-0.21486553680662393
